,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,36123.75,66250.0,0.0,890603.4,835025.783,0,542766.76,23457233.24,15469.457,0.0,0.0,0.626050220884229,0.5601279245283018,15469.457,0.028501113443277184,0.028501113443277184,0.0
1,0.044,0.01,0.054,36123.75,66250.0,0.0,890603.4,835025.783,0,542766.76,23457233.24,15469.457,0.0,0.0,0.626050220884229,0.5601279245283018,15469.457,0.028501113443277184,0.03850111344327718,0.0
2,0.044,0.02,0.064,37391.25,66250.0,0.0,890603.4,848675.783,0,551639.26,23448360.74,16012.245,0.0,0.0,0.6147151851480405,0.5601279245283018,16012.245,0.02902665956009005,0.04902665956009005,0.0
3,0.044,0.03,0.074,38025.0,66250.0,0.0,890603.4,854525.783,0,555441.76,23444558.24,16283.639,0.0,0.0,0.6086365987289064,0.5601279245283018,16283.639,0.0293165551686283,0.0593165551686283,0.0
4,0.044,0.04,0.08399999999999999,38025.0,66250.0,0.0,890603.4,854525.783,0,555441.76,23444558.24,16283.639,0.0,0.0,0.6086365987289064,0.5601279245283018,16283.639,0.0293165551686283,0.06931655516862831,0.0
5,0.044,0.05,0.094,38289.084,66250.0,0.0,890603.4,856557.193,0,556762.18,23443237.84,16396.729,0.0,0.0,0.6058756633265676,0.5601279245283018,16396.729,0.02945014871520188,0.07945014871520188,0.0
6,0.044,0.06,0.104,38289.084,66250.0,0.0,890603.4,856557.193,0,556762.18,23443237.84,16396.729,0.0,0.0,0.6058756633265676,0.5601279245283018,16396.729,0.02945014871520188,0.08945014871520188,0.0
7,0.044,0.07,0.114,38500.313,66250.0,0.0,890603.4,857857.065,0,557607.095,23442392.92,16487.185,0.0,0.0,0.6034659759346198,0.5601279245283018,16487.185,0.029567746084722974,0.09956774608472298,0.0
8,0.044,0.08,0.124,38500.313,66250.0,0.0,890603.4,857857.065,0,557607.096,23442392.92,16487.185,0.0,0.0,0.6034659770168621,0.5601279245283018,16487.185,0.029567746031696842,0.10956774603169685,0.0
9,0.044,0.09,0.134,38500.313,66250.0,0.0,890603.4,857857.065,0,557607.096,23442392.92,16487.185,0.0,0.0,0.6034659770168621,0.5601279245283018,16487.185,0.029567746031696842,0.11956774603169684,0.0
10,0.044,0.1,0.14400000000000002,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.1303343087138824,0.0
11,0.044,0.11,0.154,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.14033430871388242,0.0
12,0.044,0.12,0.16399999999999998,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.1503343087138824,0.0
13,0.044,0.13,0.174,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.1603343087138824,0.0
14,0.044,0.14,0.184,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.17033430871388242,0.0
15,0.044,0.15,0.194,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.1803343087138824,0.0
16,0.044,0.16,0.20400000000000001,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.1903343087138824,0.0
17,0.044,0.17,0.21400000000000002,39767.813,66250.0,0.0,890603.4,863707.065,0,561409.596,23438590.42,17029.972,0.0,0.0,0.5882160655905316,0.5601279245283018,17029.972,0.030334308713882405,0.20033430871388241,0.0
18,0.044,0.18,0.22399999999999998,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.21085151160677618,0.0
19,0.044,0.19,0.23399999999999999,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.22085151160677619,0.0
20,0.044,0.2,0.244,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.2308515116067762,0.0
21,0.044,0.21,0.254,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.24085151160677618,0.0
22,0.044,0.22,0.264,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.25085151160677616,0.0
23,0.044,0.23,0.274,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.26085151160677617,0.0
24,0.044,0.24,0.284,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.2708515116067762,0.0
25,0.044,0.25,0.294,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.2808515116067762,0.0
26,0.044,0.26,0.304,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.2908515116067762,0.0
27,0.044,0.27,0.314,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.3008515116067762,0.0
28,0.044,0.28,0.324,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.3108515116067762,0.0
29,0.044,0.29,0.33399999999999996,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.32085151160677616,0.0
30,0.044,0.3,0.344,40560.0,66250.0,0.0,890603.4,866144.565,0,562993.97,23437006.04,17369.215,0.0,0.0,0.5783550809500329,0.5601279245283018,17369.215,0.03085151160677618,0.33085151160677617,0.0
